word,entity_group,frequency,word_lower,mean_tfidf,freq_normalized,combined_score
whatsapp,PRD,12,whatsapp,0.0,0.006948465547191662,0.003474232773595831
negeri paman sam,GPE,12,negeri paman sam,0.0,0.006948465547191662,0.003474232773595831
november,DAT,12,november,0.0,0.006948465547191662,0.003474232773595831
pemilu,EVT,12,pemilu,0.0,0.006948465547191662,0.003474232773595831
greer,ORG,3,greer,0.005108578609127965,0.0017371163867979154,0.00342284749796294
sentral,ORG,1,sentral,0.006084056787277505,0.0005790387955993051,0.003331547791438405
pemerintah amerika serikat,NOR,11,pemerintah amerika serikat,0.0,0.006369426751592357,0.0031847133757961785
boeing,ORG,11,boeing,0.0,0.006369426751592357,0.0031847133757961785
pemerintah amerika serikat as,NOR,11,pemerintah amerika serikat as,0.0,0.006369426751592357,0.0031847133757961785
etanol,PRD,11,etanol,0.0,0.006369426751592357,0.0031847133757961785
bbc,ORG,11,bbc,0.0,0.006369426751592357,0.0031847133757961785
tiga bulan,QTY,11,tiga bulan,0.0,0.006369426751592357,0.0031847133757961785
september,DAT,11,september,0.0,0.006369426751592357,0.0031847133757961785
national,LAW,11,national,0.0,0.006369426751592357,0.0031847133757961785
menteri perdagangan,NOR,11,menteri perdagangan,0.0,0.006369426751592357,0.0031847133757961785
musk,PER,10,musk,0.0,0.005790387955993051,0.0028951939779965257
sri mulyani,PER,10,sri mulyani,0.0,0.005790387955993051,0.0028951939779965257
garmen,ORG,10,garmen,0.0,0.005790387955993051,0.0028951939779965257
oktober,DAT,10,oktober,0.0,0.005790387955993051,0.0028951939779965257
bmi,ORG,10,bmi,0.0,0.005790387955993051,0.0028951939779965257
keempat,ORD,10,keempat,0.0,0.005790387955993051,0.0028951939779965257
asia tenggara,GPE,10,asia tenggara,0.0,0.005790387955993051,0.0028951939779965257
amerika utara,GPE,10,amerika utara,0.0,0.005790387955993051,0.0028951939779965257
rp us,MON,10,rp us,0.0,0.005790387955993051,0.0028951939779965257
minyak mentah,PRD,10,minyak mentah,0.0,0.005790387955993051,0.0028951939779965257
koordinator bidang perekonomian,ORG,10,koordinator bidang perekonomian,0.0,0.005790387955993051,0.0028951939779965257
shanghai,GPE,9,shanghai,0.0,0.0052113491603937466,0.0026056745801968733
iran,GPE,9,iran,0.0,0.0052113491603937466,0.0026056745801968733
ford,ORG,9,ford,0.0,0.0052113491603937466,0.0026056745801968733
sugiono,PER,9,sugiono,0.0,0.0052113491603937466,0.0026056745801968733
sheinbaum,PER,9,sheinbaum,0.0,0.0052113491603937466,0.0026056745801968733
delegasi,NOR,9,delegasi,0.0,0.0052113491603937466,0.0026056745801968733
jerome powell,PER,9,jerome powell,0.0,0.0052113491603937466,0.0026056745801968733
partai republik,NOR,9,partai republik,0.0,0.0052113491603937466,0.0026056745801968733
pasifik,GPE,9,pasifik,0.0,0.0052113491603937466,0.0026056745801968733
california,GPE,9,california,0.0,0.0052113491603937466,0.0026056745801968733
tkdn,LAW,9,tkdn,0.0,0.0052113491603937466,0.0026056745801968733
ai,ORG,9,ai,0.0,0.0052113491603937466,0.0026056745801968733
dua hari,QTY,9,dua hari,0.0,0.0052113491603937466,0.0026056745801968733
us juta,MON,9,us juta,0.0,0.0052113491603937466,0.0026056745801968733
presiden china,NOR,9,presiden china,0.0,0.0052113491603937466,0.0026056745801968733
justin trudeau,PER,9,justin trudeau,0.0,0.0052113491603937466,0.0026056745801968733
presidendonald,NOR,9,presidendonald,0.0,0.0052113491603937466,0.0026056745801968733
london,GPE,8,london,0.0,0.004632310364794441,0.0023161551823972205
kementerian perdagangan china,NOR,8,kementerian perdagangan china,0.0,0.004632310364794441,0.0023161551823972205
ponsel,PRD,8,ponsel,0.0,0.004632310364794441,0.0023161551823972205
