word,entity_group,frequency,word_lower,mean_tfidf,freq_normalized,combined_score
negeri,ORG,8,negeri,0.018600824406869464,0.009779951100244499,0.014190387753556981
gedung putih,LOC,23,gedung putih,0.0,0.028117359413202935,0.014058679706601468
dewan,NOR,15,dewan,0.009675942665000485,0.018337408312958436,0.01400667548897946
ustr,ORG,17,ustr,0.006819074496923243,0.02078239608801956,0.013800735292471401
tiga,QTY,2,tiga,0.025152726306899617,0.0024449877750611247,0.013798857040980371
ketiga,CRD,14,ketiga,0.01045845596510039,0.017114914425427872,0.013786685195264131
indeks,PRD,13,indeks,0.011620621309801614,0.01589242053789731,0.013756520923849463
perdagangan,PRD,1,perdagangan,0.02614427445178366,0.0012224938875305623,0.013683384169657111
beijing,ORG,3,beijing,0.02359362218241111,0.003667481662591687,0.013630551922501398
kepala,NOR,12,kepala,0.012291252935418303,0.014669926650366748,0.013480589792892525
konferensi pers,EVT,22,konferensi pers,0.0,0.02689486552567237,0.013447432762836185
imf,ORG,15,imf,0.008332273354230141,0.018337408312958436,0.013334840833594288
selatan,GPE,9,selatan,0.015515567381852982,0.011002444987775062,0.013259006184814022
mei,PER,6,mei,0.019144142858661815,0.007334963325183374,0.013239553091922594
asia,MON,1,asia,0.02521739216526479,0.0012224938875305623,0.013219943026397675
asia,NOR,1,asia,0.02521739216526479,0.0012224938875305623,0.013219943026397675
kementerian,ORG,1,kementerian,0.02515506208788085,0.0012224938875305623,0.013188777987705706
kementerian,FAC,1,kementerian,0.02515506208788085,0.0012224938875305623,0.013188777987705706
tiga,ORG,1,tiga,0.025152726306899617,0.0012224938875305623,0.013187610097215089
jenewa,GPE,15,jenewa,0.008017352631924435,0.018337408312958436,0.013177380472441436
februari,ORG,5,februari,0.019874388788649784,0.006112469437652812,0.012993429113151298
presiden asdonald,NOR,21,presiden asdonald,0.0,0.02567237163814181,0.012836185819070905
bank,PRD,1,bank,0.024441049819933888,0.0012224938875305623,0.012831771853732224
maret,ORG,4,maret,0.020667430438080215,0.004889975550122249,0.012778702994101231
dolar,ORG,1,dolar,0.024253302299656457,0.0012224938875305623,0.012737898093593509
apple,PRD,12,apple,0.010793989724001148,0.014669926650366748,0.012731958187183947
pesawat,PRD,14,pesawat,0.008343022711315692,0.017114914425427872,0.012728968568371782
sabtu,ORG,4,sabtu,0.020332109868341212,0.004889975550122249,0.012611042709231732
ri,PRD,1,ri,0.023762894090904246,0.0012224938875305623,0.012492693989217403
ri,PER,1,ri,0.023762894090904246,0.0012224938875305623,0.012492693989217403
airlangga,NOR,2,airlangga,0.022466159403950733,0.0024449877750611247,0.01245557358950593
airlangga,PRD,2,airlangga,0.022466159403950733,0.0024449877750611247,0.01245557358950593
prancis,GPE,15,prancis,0.006548008015827778,0.018337408312958436,0.012442708164393107
